id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10076,Al0.07B2Mg0.93,35.80 ,2005,10.1103/PhysRevB.71.144505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10077,Al0.085B2Mg0.915,32.40 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10078,Al0.08B2Mg0.92,35.50 ,2006,10.1016/j.physc.2006.06.050,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10079,Al0.08Nb3Sn0.92,17.90 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10080,Al0.09B2Mg0.91,34.70 ,2002,10.1103/PhysRevB.65.132505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10081,Al0.09Nb3Sn0.91,17.80 ,1968,10.1007/BF01380012,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10082,Al0.14B2Mg0.86,35.10 ,2001,10.1038/35066528,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10083,Al0.15B2Mg0.85,31.50 ,2005,10.1103/PhysRevB.71.144505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10084,Al0.15Ga0.85Nb3,17.10 ,1968,10.1007/BF01380012,15793,cubic,Pm-3n,139.43,8.3,5.19,5.19,5.19,90,90,90
10085,Al0.15Ge0.85Nb3,7.40 ,1983,10.1002/pssa.2210770244,14071,tetragonal,P4_2/n,565.46,8.25,10.35,10.35,5.28,90,90,90
10086,Al0.185B2Mg0.815,25.30 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10087,Al0.188V0.812,NaN,,10.1016/0022-3697(64)90037-X,10101,cubic,Pm-3n,109.87,5.43,4.79,4.79,4.79,90,90,90
10088,Al0.18La0.82,4.65 ,1979,10.1103/PhysRevB.19.193,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10089,Al0.19B2Mg0.81,30.80 ,2002,10.1103/PhysRevB.65.132505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10090,Al0.19Nb3Sn0.81,14.60 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10091,Al0.1B0.9Li2Pd3,7.49 ,2013,10.1016/j.physc.2013.04.059,11035,trigonal,R32H,310.59,7.36,6.77,6.77,6.77,90.01,90.01,90.01
10092,Al0.1B2Mg0.9,37.80 ,2003,10.1016/j.physc.2003.09.076,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10093,Al0.1Ca1Ga0.9Si1,3.34 ,2004,10.1016/j.physc.2004.02.175,12748,hexagonal,P-6m2,64.43,3.55,4.11,4.11,4.41,90,90,120
10094,Al0.1Ga0.9V3,13.90 ,1969,10.1007/BF01392578,15776,cubic,Pm-3n,108.14,6.83,4.76,4.76,4.76,90,90,90
10095,Al0.1Nb3Sn0.9,18.40 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10096,Al0.215Nb0.785,17.97 ,1968,10.1063/1.1652511,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10097,Al0.21B2Mg0.79,27.10 ,2006,10.1016/j.jpcs.2005.10.065,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10098,Al0.22La0.78,4.30 ,1979,10.1103/PhysRevB.19.193,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10099,Al0.24Si0.76V3,11.20 ,,,15643,cubic,Pm-3n,102.74,5.85,4.68,4.68,4.68,90,90,90
10100,Al0.25Ti0.525V0.255,NaN,,10.1016/0022-3697(64)90037-X,10100,cubic,F-43m,63.62,4.53,4.48,4.48,4.48,60,60,60
10101,Al1V3,16.90 ,1969,10.1515/zna-1969-0716,10101,cubic,Pm-3n,109.87,5.43,4.79,4.79,4.79,90,90,90
10102,Al0.27La0.73,3.82 ,1979,10.1103/PhysRevB.19.193,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10103,Al0.28Mg0.18,1.63 ,1974,10.1088/0031-8949/9/6/011,10103,tetragonal,I4_1/amd,399.05,2.16,6.44,6.44,10.63,107.64,107.64,90
10104,Al0.29B2Mg0.71,24.00 ,2002,10.1103/PhysRevB.65.132505,10126,hexagonal,P6/mmm,53.35,2.94,3.03,3.03,6.72,90,90,120
10105,Al0.2B2Mg0.8,33.40 ,2005,10.1088/0953-2048/18/1/028,10105,hexagonal,P6/mmm,139.15,2.77,3.05,3.05,17.26,90,90,120
10106,Al0.2B5Mo1.8,5.70 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
10107,Al0.2Ca1Ga0.8Si1,3.24 ,2004,10.1016/j.physc.2004.02.175,12748,hexagonal,P-6m2,64.43,3.55,4.11,4.11,4.41,90,90,120
10108,Al0.2La0.8,4.43 ,1979,10.1103/PhysRevB.19.193,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10109,Al0.2Nb3Sn0.8,16.90 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10110,Al0.308V0.692,NaN,,10.1016/0022-3697(64)90037-X,10101,cubic,Pm-3n,109.87,5.43,4.79,4.79,4.79,90,90,90
10111,Al0.32La0.68,3.23 ,1979,10.1103/PhysRevB.19.193,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10112,Al0.33Ga0.67Nb3,18.10 ,1968,10.1007/BF01380012,10127,cubic,Pm-3,140.63,7.72,5.2,5.2,5.2,90,90,90
