id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
14194,Hf0.87Ta0.13V2,10.45 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14195,Hf0.87V2Zr0.13,9.76 ,1971,10.1063/1.1653643,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14196,Hf4Mo1,2.89 ,1983,10.1016/0038-1098(83)91062-1,14196,cubic,Fd-3m1,240.74,11.17,6.98,6.98,6.98,60,60,60
14197,Hf0.8Ta0.2V2,9.54 ,1973,10.1088/0305-4608/3/12/016,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14198,Hf0.8Ti0.2V2,8.80 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14199,Hf0.8V2Zr0.2,9.73 ,1973,10.1088/0305-4608/3/12/016,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14200,Hf0.95Ta0.05V2,9.49 ,1973,10.1088/0305-4608/3/12/016,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14201,Hf0.95V2Y0.05,9.22 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14202,Hf0.99Ta0.01V2,9.11 ,1973,10.1088/0305-4608/3/12/016,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14203,Hf0.9N1Nb0.1,5.47 ,1967,10.1063/1.1709868,14212,cubic,Fm-3m,22.96,13.92,3.19,3.19,3.19,60,60,60
14204,Hf0.9Nb0.1V2,9.93 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14205,Hf0.9Ta0.1V2,9.49 ,1973,10.1088/0305-4608/3/12/016,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14206,Hf0.9Ti0.1V2,9.19 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14207,Hf0.9V2Y0.1,9.19 ,1985,10.1088/0305-4608/15/11/015,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14208,Hf1,0.13 ,2004,10.1134/1.1857274,14208,hexagonal,P6_3/mmc,44.53,13.31,3.19,3.19,5.05,90,90,120
14209,Hf1In1Pd2,2.86 ,2012,10.1103/PhysRevB.85.174505,14209,cubic,Fm-3m,70.04,12,4.63,4.62,4.62,60.09,60.07,60.01
14210,Hf1Mo2,1.00 ,1970,10.1016/0022-5088(70)90162-1,14210,cubic,Fd-3m1,107.69,11.42,5.34,5.34,5.34,60,60,60
14211,Hf1N0.989,6.60 ,,,14212,cubic,Fm-3m,22.96,13.92,3.19,3.19,3.19,60,60,60
14212,Hf1N1,8.83 ,1971,10.1016/0031-8914(71)90241-2,14212,cubic,Fm-3m,22.96,13.92,3.19,3.19,3.19,60,60,60
14213,Hf1N1.118,NaN,,,14213,cubic,Fd-3m1,183.28,10.72,6.38,6.38,6.38,60,90,120
14214,Hf1Ni2Sn1,NaN,,10.1016/0167-577X(83)90043-5,14214,cubic,Fm-3m,61.69,11.16,4.44,4.44,4.44,60,60,60
14215,Hf1Os1,NaN,,10.1016/0022-5088(86)90101-3,14215,cubic,Pm-3m,34.12,17.94,3.24,3.24,3.24,90,90,90
14216,Hf1Os1P1,6.10 ,1983,10.1007/BF00614955,14216,hexagonal,P-62m,134.95,14.75,6.39,6.39,3.82,90,90,120
14217,Hf1Os1Si1,NaN,,10.1016/0038-1098(86)90640-X,14217,orthorhombic,Ima2,279.43,14.15,6.63,7.37,7.56,119.17,116.01,90
14218,Hf1Os2,2.69 ,,,14218,hexagonal,P6_3/mmc,198.62,18.69,5.18,5.18,8.54,90,90,120
14219,Hf1P1Ru1,12.70 ,1962,"Springer-Verlag, 1982,",14219,hexagonal,P-62m,133.57,11.58,6.4,6.4,3.77,90,90,120
14220,Hf1Re2,5.61 ,1962,10.1147/rd.61.0116,14220,hexagonal,P6_3/mmc,205.78,17.78,5.26,5.26,8.6,90,90,120
14221,Hf1Rh1,1.73 ,1966,10.1007/BF01325944,14221,cubic,Pm-3m,34.3,13.62,3.25,3.25,3.25,90,90,90
14222,Hf1Rh1Si1,2.30 ,1998,10.1016/S0038-1098(98)00469-4,14222,orthorhombic,Pnma,186.98,10.99,3.9,6.48,7.4,90,90,90
14223,Hf1Rh3,NaN,,10.1016/0038-1098(88)90250-5,14223,cubic,Pm-3m,59.97,13.49,3.91,3.91,3.91,90,90,90
14224,Hf1Ru1,NaN,,10.1103/RevModPhys.35.1,14224,cubic,Pm-3m,33.55,13.84,3.23,3.23,3.23,90,90,90
14225,Hf1Ru1Si1,NaN,,10.1016/0038-1098(86)90640-X,14225,orthorhombic,Ima2,278.03,11.02,6.64,7.33,7.56,119.01,116.06,90
14226,Hf1Sb2,NaN,,10.1007/BFb0119186,14226,orthorhombic,Pnnm,581.76,9.64,3.9,9.93,15.03,90,90,90
14227,Hf1Si2,NaN,,,14227,orthorhombic,Cmcm,97.08,8.03,3.65,3.65,7.52,104.03,90,90
14228,Hf1Tc2,5.60 ,1970,10.1016/0022-5088(70)90027-5,14228,hexagonal,P6_3/mmc,200.4,12.41,5.18,5.18,8.63,90,90,120.02
14229,Hf1V2,9.67 ,1976,10.1103/PhysRevLett.37.1410,14229,monoclinic,C12/m1,100.06,9.31,5.17,5.18,5.18,118.53,118.36,92.85
14230,Hf1V2.3,9.20 ,1970,"LT-12 (1970, Kyoto) p 483",14230,orthorhombic,Imma,98.05,9.5,5.17,5.17,5.17,120.58,118.82,90.53
14231,Hf1W2,NaN,,10.1016/0022-5088(70)90162-1,14231,cubic,Fd-3m1,109.26,16.6,5.37,5.37,5.37,60,60,60
14232,Hf25Nb50Zr25,10.10 ,,,14232,orthorhombic,Cmm2,82.12,9.21,3.02,3.02,9.75,90,90,112.26
14233,Hf2Ir1,NaN,,,14233,hexagonal,P6_3/mcm,299.06,16.31,7.92,7.92,5.51,90,90,120
14234,Hf2Ni1,0.87 ,1972,10.1016/0022-5088(72)90060-4,14234,tetragonal,I4/mcm,105.76,13.05,5.24,5.2,5.2,75.32,59.78,59.78
14235,Hf2Rh1,2.02 ,1966,10.1007/BF01325944,14235,cubic,Fd-3m1,462.98,13.2,8.68,8.68,8.68,60,60,60
14236,Hf2Ru3Si4,NaN,,10.1088/0953-2048/27/2/025012,14236,monoclinic,C12/c1,537.28,9.55,9.87,9.87,13.32,54.05,54.05,31.48
14237,Hf2Si1,NaN,,10.1016/0022-5088(72)90060-4,14237,tetragonal,I4/mcm,110.83,11.54,5.17,5.3,5.3,76.28,60.86,60.86
14238,Hf3Si2,NaN,,10.1016/0375-9601(69)90056-5,14238,tetragonal,P4/mbm,178.98,10.98,3.66,6.99,6.99,90,90,90
14239,Hf5Re24,4.30 ,,,14239,cubic,I-43m,460.56,19.33,8.43,8.43,8.43,109.47,109.47,109.47
14240,Hg1In1,3.81 ,1963,10.1016/0022-5088(63)90042-0,14240,trigonal,R-3mH,51.3,10.21,4.92,4.92,4.92,43.59,43.59,43.59
14241,Hg0.698Tl0.302,3.89 ,,,14242,cubic,Pm-3m,110.97,12.06,4.81,4.81,4.81,90,90,90
14242,Hg0.714Tl0.286,3.88 ,,,14242,cubic,Pm-3m,110.97,12.06,4.81,4.81,4.81,90,90,90
14243,Hg1,4.17 ,1951,10.1103/PhysRev.84.691,14243,hexagonal,P6_3/mmc,56.95,11.7,3.46,3.46,5.49,90,90,120
14244,Hg1K1,NaN,,,14244,triclinic,P-1,296.53,5.37,6.63,6.79,7.07,106.77,101.8,92
14245,Hg1Li3,NaN,,,14245,tetragonal,I4/mmm,68.2,5.39,4.57,4.57,4.57,119.35,119.35,91.12
14246,Hg1Mg1,1.39 ,1966,10.1016/0022-3697(66)90083-7,14246,cubic,Pm-3m,40.96,9.12,3.45,3.45,3.45,90,90,90
14247,Hg1Mg3,0.16 ,1966,10.1016/0022-3697(66)90083-7,14247,hexagonal,P6_3/mmc,164.59,5.52,6.25,6.25,4.87,90,90,120
14248,Hg1Na1,NaN,,,14248,orthorhombic,Cmcm,199.72,7.44,5.21,6.45,6.45,112.94,90,90
14249,Hg1Pb1.8,5.70 ,2004,10.1016/j.matlet.2004.08.007,14250,monoclinic,C12/m1,92.4,11.05,3.51,3.51,8.57,83.86,83.86,61.99
14250,Hg1Pb2,5.80 ,2004,10.1016/j.matlet.2004.08.007,14250,monoclinic,C12/m1,92.4,11.05,3.51,3.51,8.57,83.86,83.86,61.99
14251,Hg1S1,NaN,,,14251,cubic,F-43m,52.38,7.38,4.2,4.2,4.2,60,60,60
14252,Hg1Zr3,NaN,,10.1016/0038-1098(67)90260-8,14252,cubic,Pm-3n,174.79,9.01,5.59,5.59,5.59,90,90,90
14253,Hg2K1,1.20 ,,,14253,orthorhombic,Imma,190.58,7.67,5.25,6.6,6.6,73.92,66.56,66.56
14254,Hg2Mg1,4.00 ,1966,10.1016/0022-3697(66)90083-7,14254,monoclinic,C12/m1,139.07,10.16,6.15,6.15,7.11,71.65,71.65,33.17
14255,Hg2Mg5,NaN,,10.1016/0022-3697(66)90083-7,14247,hexagonal,P6_3/mmc,164.59,5.52,6.25,6.25,4.87,90,90,120
14256,Hg2Na1,1.62 ,,,14256,hexagonal,P6/mmm,73.6,9.57,5.11,5.11,3.26,90,90,120
14257,Hg2Na3,NaN,,,14257,tetragonal,P4_2/mnm,545.86,5.72,7.78,8.38,8.38,90,90,90
14258,Hg2Os2O7,NaN,,10.1039/B109715F,14258,cubic,Fd-3m1,281.27,10.55,7.35,7.35,7.35,60,60,60
14259,Hg2Pt1,NaN,,,14259,tetragonal,P4/mmm,67.62,14.64,2.95,4.79,4.79,90,90,90
14260,Hg3K1,3.18 ,,,14260,hexagonal,P6_3/mmc,239.15,8.9,7.11,7.11,5.46,90,90,120
14261,Hg3Li1,1.70 ,,,14261,hexagonal,P6_3/mmc,173.76,11.63,6.53,6.53,4.71,90,90,120
14262,Hg3Mg1,0.48 ,1966,10.1016/0022-3697(66)90083-7,14262,hexagonal,P6_3/mmc,189.09,11,4.93,4.93,8.97,90,90,120
14263,Hg3Pt1,NaN,,,14267,cubic,Im-3m,125.26,13.22,5.46,5.46,5.46,109.47,109.47,109.47
14264,Hg3Zr1,3.28 ,1970,10.1016/0022-3697(70)90261-1,14264,cubic,Pm-3m,86.22,13.35,4.42,4.42,4.42,90,90,90
14265,Hg4K1,3.27 ,,,14265,tetragonal,I4/mmm,328.62,8.5,5.01,5.01,13.08,90,90,90
14266,Hg4Na1,3.05 ,,,14266,hexagonal,P6/mmm,179.53,9.49,6.15,6.15,5.48,90,90,120
14267,Hg4Pt1,NaN,,,14267,cubic,Im-3m,125.26,13.22,5.46,5.46,5.46,109.47,109.47,109.47
14268,Hg5Mn2,NaN,,,14268,tetragonal,P4/mbm,302.01,12.24,10.01,10.01,3.02,90,90,90
14269,Hg5Pt2,NaN,,,14259,tetragonal,P4/mmm,67.62,14.64,2.95,4.79,4.79,90,90,90
14270,Hg5Tl2,3.86 ,,,14242,cubic,Pm-3m,110.97,12.06,4.81,4.81,4.81,90,90,90
14271,Hg7K5,NaN,,,14271,orthorhombic,Pbcm,1625.97,6.53,8.24,10.14,19.45,90,90,90
14272,Hg8K1,3.42 ,,,14272,orthorhombic,Pnma,810.07,10.19,5.44,10.78,13.8,90,90,90
14273,Ho0.1Pd2Sn1Y0.9,4.06 ,1985,10.1103/PhysRevB.32.4426,15331,cubic,Fm-3m,77.2,9.04,4.78,4.78,4.78,60,60,60
14274,Ho1,NaN,,,14274,trigonal,R-3mH,93.27,8.81,3.57,3.57,8.71,78.18,78.18,60
14275,Ho1Ir1Si1,NaN,,10.1016/0038-1098(82)91252-2,14275,orthorhombic,Pnma,211.91,12.07,4.21,6.82,7.38,90,90,90
14276,Ho1P2Pd2,NaN,,10.1016/j.jmmm.2016.05.089,14276,tetragonal,I4/mmm,82.67,8.83,5.73,5.73,5.73,138.23,138.23,60.55
14277,Ho1Pb1Pd2,NaN,,10.1103/PhysRevB.53.2651,14277,cubic,Fm-3m,79.18,12.27,4.82,4.82,4.82,60,60,60
14278,Ho1Pd2Sn1,NaN,,10.1103/PhysRevB.31.6971,14278,cubic,Fm-3m,76.15,10.83,4.76,4.76,4.76,60,60,60
14279,Ho1Re2,NaN,,,14279,hexagonal,P6_3/mmc,221.26,16.13,5.4,5.4,8.78,90,90,120
14280,Ho1Rh1Si1,NaN,,10.1016/0038-1098(82)91252-2,14280,orthorhombic,Pnma,212.25,9.26,4.22,6.85,7.34,90,90,90
14281,Ho1Te3,NaN,,10.1103/PhysRevB.93.115133,14281,orthorhombic,Cmcm,245.85,7.4,4.32,4.33,13.31,90,99.35,90
14282,Ho2Rh3Si5,NaN,,10.1103/PhysRevB.64.064514,14282,orthorhombic,Ibam,323.37,8,8.1,8.1,8.1,138.84,105.23,89.12
14283,Ho2Rh3Sn5,NaN,,10.1103/PHYSREVB.59.12054,14283,orthorhombic,Cmc2_1,428.18,9.56,13.46,13.46,7.34,90,90,161.23
14284,Ho3Ni1,NaN,,10.1088/0953-8984/9/35/015,14284,orthorhombic,Pnma,406.47,9.04,6.26,6.81,9.53,90,90,90
14285,Ho5Ir4Si10,NaN,,10.1103/physrevb.43.7688,14285,tetragonal,P4/mbm,678.24,9.18,12.62,12.62,4.26,90,90,90
14286,I2,1.20 ,1994,10.1143/JPSJ.61.3853,14286,orthorhombic,Cmce,206.87,4.07,5.12,5.12,9.83,90,90,126.54
14287,I4Sn1,1.96 ,1996,10.1143/JPSJ.65.3400,14287,cubic,Pa-3,2007.94,4.14,12.62,12.62,12.62,90,90,90
14288,In0.021Sn0.979Te1,0.94 ,2009,10.1103/PhysRevB.79.024520,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14289,In0.025Sn0.975Te1,1.42 ,2013,10.1103/PhysRevB.88.140502,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14290,In0.044Sn0.956Te1,1.02 ,2009,10.1103/PhysRevB.79.024520,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14291,In0.04Sn0.96Te1,1.14 ,1974,10.1143/JPSJ.36.1705,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14292,In0.051Sn0.949Te1,1.65 ,2009,10.1103/PhysRevB.79.024520,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14293,In0.05Sn0.95Te1,1.43 ,1974,10.1143/JPSJ.36.1705,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14294,In0.08Sn0.92Te1,1.45 ,1974,10.1143/JPSJ.36.1705,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14295,In0.099Sn0.901Te1,1.75 ,2009,10.1103/PhysRevB.79.024520,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14296,In0.12Pb0Sn0.88Te1,1.76 ,2001,10.1134/1.1410620,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
14297,In0.15Nb3Sn0.85,18.26 ,1964,10.1007/BF01375401,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
14298,In0.18Mg0.82,NaN,,10.1103/PhysRevB.6.103,14298,cubic,Pm-3m,88.55,3.52,4.46,4.46,4.46,90,90,90
14299,In0.1Nb3Sn0.9,18.10 ,1968,10.1007/BF01380012,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
14300,In1Sb3,4.10 ,1971,10.1016/0375-9601(71)90210-6,14300,cubic,Fm-3m,109.27,7.3,5.37,5.37,5.37,60,60,60
14301,In0.25Tl0.75,3.64 ,1967,10.1103/PhysRev.154.436,14301,cubic,Pm-3m,118.58,10.19,4.91,4.91,4.91,90,90,90
14302,In0.2Nb3Sn0.8,17.80 ,1968,10.1007/BF01380012,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
14303,In0.2Si0.8V3,16.20 ,1969,10.1007/BF01392578,15643,cubic,Pm-3n,102.74,5.85,4.68,4.68,4.68,90,90,90
14304,In0.2Sn0.8Te1,3.10 ,2015,10.1016/j.jssc.2015.05.015,14305,trigonal,P-3m1,189.49,6.44,4.46,4.46,11,90,90,120
14305,In0.3Sn0.7Te1,3.68 ,2013,10.1103/PhysRevB.88.020505,14305,trigonal,P-3m1,189.49,6.44,4.46,4.46,11,90,90,120
14306,In0.45Sn0.55Te1,4.46 ,2013,10.1103/PhysRevB.88.020505,14310,trigonal,R-3mH,124.79,6.5,7.67,7.67,7.67,33.82,33.82,33.82
14307,In0.45Tl0.55,2.48 ,1967,10.1103/PhysRev.154.436,14307,trigonal,R-3mH,56.24,9.43,5.91,5.91,5.91,33.54,33.54,33.54
14308,In0.4Sn0.6Te1,4.75 ,2013,10.1103/PhysRevB.87.140507,14310,trigonal,R-3mH,124.79,6.5,7.67,7.67,7.67,33.82,33.82,33.82
14309,In1Pb1,6.65 ,,,14309,trigonal,R-3mH,58.28,9.18,6.06,6.06,6.06,32.87,32.87,32.87
14310,In1Sn1Te2,4.40 ,2014,10.1209/0295-5075/108/37010,14310,trigonal,R-3mH,124.79,6.5,7.67,7.67,7.67,33.82,33.82,33.82
14311,In0.69Tl0.31,2.98 ,,,15839,hexagonal,P6_3/mmc,220.98,8.25,6.77,6.77,5.56,90,90,120
14312,In0.71S8V6,5.40 ,2002,10.1016/S0038-1098(01)00495-1,14347,trigonal,P3,235.58,4.77,9.19,9.19,3.22,90,90,120
14313,In3Pb1,5.65 ,1971,10.1016/0375-9601(71)90294-5,14313,cubic,Fm-3m,113.05,8.1,5.43,5.43,5.43,60,60,60
14314,In3Sn1,5.95 ,1958,10.1103/PhysRev.109.686,14314,cubic,Pm-3m,107.8,7.13,4.76,4.76,4.76,90,90,90
14315,In0.75Tl0.25,NaN,,,14315,tetragonal,P4/mmm,109.49,8.32,3.22,3.22,10.59,90,90,90
14316,In0.78Tl0.22,3.18 ,,,15839,hexagonal,P6_3/mmc,220.98,8.25,6.77,6.77,5.56,90,90,120
14317,In0.7Sn0.3,7.30 ,1961,10.1063/1.1731856,14314,cubic,Pm-3m,107.8,7.13,4.76,4.76,4.76,90,90,90
14318,In0.82Mg0.18,3.67 ,1974,10.1016/0375-9601(74)90675-6,14318,cubic,Pm-3m,96.6,6.34,4.59,4.59,4.59,90,90,90
14319,In0.82Te1,1.06 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14320,In0.83Te1,1.15 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14321,In0.87Te1,1.55 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14322,In0.8La3Sn0.2,7.80 ,1973,10.1103/PhysRevB.8.3194,14335,cubic,Pm-3m,132.05,6.68,5.09,5.09,5.09,90,90,90
14323,In0.8Tl0.2,3.22 ,,,15839,hexagonal,P6_3/mmc,220.98,8.25,6.77,6.77,5.56,90,90,120
14324,In0.91Te1,2.04 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14325,In0.95Te1,2.70 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14326,In1,4.41 ,1966,10.1103/PhysRev.148.353,14326,trigonal,R-3mH,79.26,7.22,3.34,3.34,8.43,78.58,101.42,120
14327,In1.015Te1,3.51 ,1965,10.1016/0022-3697(65)90164-2,15835,tetragonal,I4/mcm,267.39,6.02,7.08,7.08,7.08,105,105,118.84
14328,In1.05Te1,3.41 ,1965,10.1016/0022-3697(65)90164-2,15835,tetragonal,I4/mcm,267.39,6.02,7.08,7.08,7.08,105,105,118.84
14329,In1.15Te1,2.60 ,1965,10.1016/0022-3697(65)90164-2,15835,tetragonal,I4/mcm,267.39,6.02,7.08,7.08,7.08,105,105,118.84
14330,In1.1Te1,2.80 ,1965,10.1016/0022-3697(65)90164-2,15835,tetragonal,I4/mcm,267.39,6.02,7.08,7.08,7.08,105,105,118.84
14331,In3La2Sn3,1.19 ,1970,10.1016/0022-3697(70)90261-1,14331,orthorhombic,Pmmm,219.28,7.41,4.83,4.82,9.42,90,90,90
14332,In3Pb3Y2,1.00 ,1970,10.1016/0022-3697(70)90261-1,14332,orthorhombic,Pmmm,219.87,8.64,4.8,4.81,9.51,90,90,90
14333,In3Sn3Th2,1.03 ,1970,10.1016/0022-3697(70)90261-1,14333,orthorhombic,Pmmm,212.98,9.08,4.69,4.84,9.38,90,90,90
14334,In1K2Mo15Se19,1.30 ,1985,10.1016/0025-5408(85)90077-7,14334,monoclinic,P12_1/m1,1718.12,6.05,19.91,9.95,9.96,60.56,90,90
14335,In1La3,9.95 ,1975,10.1103/PhysRevB.12.1778,14335,cubic,Pm-3m,132.05,6.68,5.09,5.09,5.09,90,90,90
14336,In1Mg2,3.20 ,,,14336,hexagonal,P-62m,202.52,4.02,8.36,8.36,3.35,90,90,120
14337,In1Mo3Te3,NaN,,10.1016/0022-5088(80)90109-5,14337,monoclinic,P12_1/m1,366.79,7.11,4.59,9.6,9.6,119.98,90,90
14338,In1N1,3.38 ,1966,"INSTITUTE METALLOFIZIKI AN U.S.S.R.KIEV,(1966-YEAR                     1966",14338,hexagonal,P6_3mc,62.59,6.84,3.55,3.55,5.73,90,90,120
14339,In1Nb3,8.00 ,1952,"Izv.Akad.Nauk.SSSR Ser.Fiz., 16(1952)233",14339,cubic,Pm-3n,151.25,8.64,5.33,5.33,5.33,90,90,90
14340,In1Ni2Ti1,NaN,,10.1016/0167-577X(83)90043-5,14340,cubic,Fm-3m,57.48,8.09,4.33,4.33,4.33,60,60,60
14341,In1Pd1,0.70 ,1964,"BULL.AM.PHYS.SOC.,9(1964)268",14341,cubic,Pm-3m,35.03,10.49,3.27,3.27,3.27,90,90,90
14342,In1Pd2Y1,1.04 ,1983,10.1016/0167-577X(83)90043-5,14342,cubic,Fm-3m,77.2,8.96,4.78,4.78,4.78,60,60,60
14343,In1Pd2Zr1,3.10 ,2009,10.1103/PhysRevB.79.064508,14343,cubic,Fm-3m,71.4,9.74,4.65,4.66,4.66,60.04,60.02,60.01
14344,In1Pr3,NaN,,10.1103/PhysRevB.12.1778?,14344,cubic,Pm-3m,127.6,7,5.03,5.03,5.03,90,90,90
14345,In1Pt2Y1,NaN,,10.1016/0167-577X(83)90043-5,14345,hexagonal,P6_3/mmc,161.88,12.18,4.55,4.55,9.02,90,90,120
14346,In1Rh1,NaN,,,14346,cubic,Pm-3m,33.07,10.93,3.21,3.21,3.21,90,90,90
14347,In1S8V6,3.90 ,2001,10.1016/S0038-1098(01)00333-7,14347,trigonal,P3,235.58,4.77,9.19,9.19,3.22,90,90,120
14348,In1Sb1,3.32 ,,,14348,cubic,F-43m,72.96,5.38,4.69,4.69,4.69,60,60,60
14349,In1Sc2,NaN,,,14349,hexagonal,P6_3/mmc,138.81,4.9,5.04,5.04,6.3,90,90,120
14350,In1Sc3,NaN,,,14350,hexagonal,P6_3/mmc,185.73,4.46,6.41,6.41,5.23,90,90,120
14351,In1Te1,3.45 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14352,In1Th2,NaN,,10.1016/0022-5088(72)90060-4,14352,tetragonal,I4/mcm,185.24,10.38,6.31,6.31,6.31,103.16,103.16,123
14353,In1Zr3,NaN,,10.1103/RevModPhys.35.1,14353,cubic,Pm-3m,89.13,7.24,4.47,4.47,4.47,90,90,90
14354,In2.73Sn0.27Y1,NaN,,10.1016/0022-3697(70)90261-1,14368,cubic,Pm-3m,98.97,7.27,4.63,4.63,4.63,90,90,90
14355,In2Mo15Se19,1.50 ,1985,10.1016/0025-5408(85)90077-7,14355,trigonal,R-3cH,1626.61,6.47,20.39,20.39,20.39,27.79,27.79,27.79
14356,In2Mo6Se6,2.85 ,2010,10.1103/PhysRevB.82.235128,14356,hexagonal,P6_3/m,331.39,6.41,9.21,9.21,4.51,90,90,120
14357,In2O3,3.40 ,2008,10.1088/1468-6996/9/4/044208,14357,cubic,Ia-3,526.98,7,8.81,8.81,8.81,109.47,109.47,109.47
14358,In2Te3,NaN,,10.1016/0022-3697(65)90164-2,14358,trigonal,R-3mH,160.28,6.34,4.35,4.35,10.11,77.58,77.58,60
14359,In31.5Sb68.5,3.70 ,1971,10.1016/0375-9601(71)90210-6,14359,cubic,Fd-3m1,729.89,6.52,9,9,9,90,90,90
14360,In3La1,0.70 ,1970,10.1016/0022-3697(70)90261-1,14360,cubic,Pm-3m,108.81,7.38,4.77,4.77,4.77,90,90,90
14361,In3Lu1,0.24 ,1970,10.1016/0022-3697(70)90261-1,14361,cubic,Pm-3m,95.69,9.01,4.57,4.57,4.57,90,90,90
14362,In3Mo15Se19,3.32 ,1985,10.1016/0025-5408(85)90077-7,14362,monoclinic,P12_1/m1,1697.07,6.43,19.69,9.92,9.99,60.5,90,90
14363,In3Rh1,0.19 ,2002,10.1103/PhysRevB.77.100505,14363,tetragonal,P4_2/mnm,356.31,8.34,7.04,7.04,7.2,90,90,90
14364,In3Ru1,2.68 ,,,14364,tetragonal,P4_2/mnm,361.3,8.19,7.03,7.03,7.31,90,90,90
14365,In3Te4,1.25 ,1965,10.1016/0022-3697(65)90164-2,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
14366,In3Th1,NaN,,10.1016/0022-3697(70)90261-1,14366,cubic,Pm-3m,105.66,9.06,4.73,4.73,4.73,90,90,90
14367,In3U1,NaN,,10.1016/0022-3697(70)90261-1,14367,cubic,Pm-3m,100.23,9.65,4.65,4.65,4.65,90,90,90
14368,In3Y1,0.87 ,1970,10.1016/0022-3697(70)90261-1,14368,cubic,Pm-3m,98.97,7.27,4.63,4.63,4.63,90,90,90
14369,In3Yb1,NaN,,10.1016/0022-3697(70)90261-1,14369,cubic,Pm-3m,102.98,8.34,4.69,4.69,4.69,90,90,90
14370,Ir0.02Nb3Rh0.98,2.43 ,1965,10.1103/PhysRev.137.A1438,15033,cubic,Pm-3n,138.31,9.16,5.17,5.17,5.17,90,90,90
14371,Ir0.05Nb3Rh0.95,2.38 ,1965,10.1103/PhysRev.137.A1438,15033,cubic,Pm-3n,138.31,9.16,5.17,5.17,5.17,90,90,90
14372,Ir0.1Nb3Rh0.9,NaN,,10.1103/PhysRev.137.A1438,15033,cubic,Pm-3n,138.31,9.16,5.17,5.17,5.17,90,90,90
14373,Ir0.1Os1.9Th1,2.25 ,1982,10.1016/0022-5088(82)90285-5,14377,cubic,Fm-3m,292.1,18.3,6.64,6.64,6.64,90,90,90
14374,Ir0.1Si1.9Th1,2.75 ,1983,10.1016/0025-5408(83)90173-3,15636,hexagonal,P6/mmm,61.17,7.82,4.1,4.1,4.2,90,90,120
14375,Ir0.22Ru0.78,0.21 ,1971,10.1016/0031-8914(71)90310-7,14375,hexagonal,P6_3/mmc,109.78,14.99,5.42,5.42,4.31,90,90,120
